model,function,file,source_characters,llvm_characters,representation_size,dependency_count,json_valid,request_success,latency_seconds,retry_count,prompt_tokens,output_tokens,total_tokens,keyword_count,concept_count,summary_length,purpose_length,behavior_length,source_code,ast,llvm,cfg,call_graph,purpose_complete,behavior_complete,summary_complete,inputs_complete,outputs_complete,side_effects_complete,dependencies_complete,concepts_complete,keywords_complete,algorithm_complete,complexity_complete,human_accuracy,human_relevance,human_faithfulness,human_usefulness,function_type,complexity_category,graph_complexity
llama-3.2-3b-instruct,benchmark_tests/benchmark_tests.h::Test::BenchMark::Puzzle::Puzzle::25,enhanced_llama-3.2-3b-instruct.json,115,771206,771321,0,True,True,4.327,0,2830,350,3180,4,2,28,135,160,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,,,,,Test,Moderate,Leaf
llama-3.2-3b-instruct,benchmark_tests/perft_tests.cpp::split::21,enhanced_llama-3.2-3b-instruct.json,306,771206,771512,0,True,True,2.685,0,2933,205,3138,3,2,42,65,197,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,benchmark_tests/perft_tests.cpp::Test::BenchMark::perftDriver::36,enhanced_llama-3.2-3b-instruct.json,565,771206,771771,0,True,True,2.824,0,3239,209,3448,2,2,11,122,189,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60,enhanced_llama-3.2-3b-instruct.json,1488,771206,772694,0,True,True,3.701,0,3481,277,3758,5,3,64,138,275,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,benchmark_tests/perft_tests.cpp::Test::BenchMark::standardPerft::107,enhanced_llama-3.2-3b-instruct.json,1474,771206,772680,0,True,True,3.393,0,3382,256,3638,3,3,110,110,207,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,benchmark_tests/puzzle_tests.cpp::Test::BenchMark::matingPuzzles::29,enhanced_llama-3.2-3b-instruct.json,573,719080,719653,0,True,True,2.846,0,2785,220,3005,3,2,37,141,197,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,,,,,Test,Moderate,Leaf
llama-3.2-3b-instruct,benchmark_tests/search_and_eval.cpp::Test::BenchMark::staticSearch::71,enhanced_llama-3.2-3b-instruct.json,2050,776006,778056,0,True,True,3.477,0,3319,266,3585,4,3,93,102,272,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,benchmark_tests/search_and_eval.cpp::Test::BenchMark::staticEval::125,enhanced_llama-3.2-3b-instruct.json,996,776006,777002,0,True,True,3.026,0,3066,229,3295,4,2,86,155,191,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,,,,,Test,Complex,Leaf
llama-3.2-3b-instruct,debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17,enhanced_llama-3.2-3b-instruct.json,802,0,802,0,True,True,2.272,0,1166,204,1370,3,2,44,133,283,True,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True,,,,,Test,Simple,Leaf
llama-3.2-3b-instruct,debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39,enhanced_llama-3.2-3b-instruct.json,1093,0,1093,0,True,True,1.994,0,1243,177,1420,2,3,62,94,220,True,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True,,,,,Test,Simple,Leaf
