model,complexity_category,functions,json_valid_rate,success_rate,avg_latency,median_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_keywords,avg_concepts,field_completeness_rate
llama-3.2-3b-instruct,Simple,32.0,100.0,100.0,2.8477187500000003,2.788,2721.59375,223.28125,2944.875,3.09375,2.8125,84.94318181818181
microsoft/phi-4-mini-reasoning,Simple,32.0,100.0,100.0,4.87446875,4.6695,2714.125,316.75,3030.875,6.1875,4.0625,90.3409090909091
mistralai/ministral-3-3b,Simple,32.0,100.0,100.0,6.562843750000001,5.872,3241.5625,487.84375,3729.40625,4.90625,3.59375,91.47727272727273
opencoder-1.5b-instruct,Simple,32.0,100.0,100.0,5.55740625,5.452,1497.6875,88.625,1586.3125,0.125,0.09375,47.44318181818181
qwen2.5-1.5b-instruct,Simple,32.0,100.0,100.0,2.41840625,2.398,3018.375,251.0625,3269.4375,4.96875,3.75,80.9659090909091
qwen2.5-coder-3b-instruct,Simple,32.0,100.0,100.0,3.08315625,3.0300000000000002,3018.375,253.875,3272.25,4.5625,3.625,84.94318181818183
smollm2-1.7b-instruct,Simple,32.0,100.0,100.0,2.88225,2.867,3451.0,212.8125,3663.8125,1.6875,0.8125,64.77272727272727
llama-3.2-3b-instruct,Moderate,32.0,100.0,100.0,2.70509375,2.7039999999999997,3037.3125,201.9375,3239.25,2.9375,2.21875,83.23863636363636
microsoft/phi-4-mini-reasoning,Moderate,32.0,100.0,100.0,4.6208124999999995,4.2915,3014.84375,297.6875,3312.53125,5.0625,3.34375,87.78409090909092
mistralai/ministral-3-3b,Moderate,32.0,100.0,100.0,5.6558125,5.2385,3585.375,407.0625,3992.4375,5.0,3.4375,89.48863636363636
opencoder-1.5b-instruct,Moderate,32.0,100.0,100.0,5.3622499999999995,5.371,1545.4375,79.0625,1624.5,0.0,0.0,45.73863636363637
qwen2.5-1.5b-instruct,Moderate,32.0,100.0,100.0,2.28715625,2.3724999999999996,3377.0625,230.03125,3607.09375,4.5625,3.34375,79.54545454545455
qwen2.5-coder-3b-instruct,Moderate,32.0,100.0,100.0,2.81321875,2.774,3377.0625,219.4375,3596.5,3.78125,3.28125,84.0909090909091
smollm2-1.7b-instruct,Moderate,32.0,100.0,100.0,2.8203125,2.643,3802.375,192.0,3994.375,1.0625,0.59375,63.63636363636363
llama-3.2-3b-instruct,Complex,32.0,100.0,100.0,2.83484375,2.792,3143.40625,212.0625,3355.46875,3.09375,2.28125,84.375
microsoft/phi-4-mini-reasoning,Complex,32.0,100.0,100.0,4.8258125,4.829000000000001,3129.0625,312.3125,3441.375,6.46875,3.625,89.48863636363636
mistralai/ministral-3-3b,Complex,32.0,100.0,100.0,6.001437500000001,6.051,3676.34375,433.53125,4109.875,5.25,3.5625,90.90909090909092
opencoder-1.5b-instruct,Complex,32.0,100.0,100.0,5.06621875,5.4055,1539.59375,75.5625,1615.15625,0.0,0.0,46.59090909090909
qwen2.5-1.5b-instruct,Complex,32.0,100.0,100.0,2.39496875,2.4595000000000002,3451.75,244.0,3695.75,5.21875,3.5,80.39772727272727
qwen2.5-coder-3b-instruct,Complex,32.0,100.0,100.0,3.24675,3.089,3451.75,261.5,3713.25,4.46875,3.53125,87.2159090909091
smollm2-1.7b-instruct,Complex,32.0,100.0,100.0,2.78271875,2.7065,3936.5,196.125,4132.625,0.90625,0.6875,62.5
