model,function_type,functions,json_valid_rate,success_rate,avg_latency,median_latency,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_keywords,avg_concepts,field_completeness_rate
llama-3.2-3b-instruct,Method,76.0,100.0,100.0,2.7728026315789474,2.7255000000000003,3075.657894736842,208.5921052631579,3284.25,3.026315789473684,2.4210526315789473,83.85167464114832
llama-3.2-3b-instruct,Test,20.0,100.0,100.0,2.8835999999999995,2.835,2556.2,227.0,2783.2,3.1,2.5,85.45454545454545
microsoft/phi-4-mini-reasoning,Method,76.0,100.0,100.0,4.704355263157895,4.475,3059.6447368421054,303.67105263157896,3363.315789473684,5.4605263157894735,3.5526315789473686,88.87559808612438
microsoft/phi-4-mini-reasoning,Test,20.0,100.0,100.0,5.0372,5.122,2546.2,328.85,2875.05,7.6,4.15,90.45454545454545
mistralai/ministral-3-3b,Method,76.0,100.0,100.0,6.079342105263159,5.827999999999999,3643.907894736842,437.0131578947368,4080.9210526315787,5.0394736842105265,3.460526315789474,90.1913875598086
mistralai/ministral-3-3b,Test,20.0,100.0,100.0,6.050649999999999,6.015000000000001,2958.4,464.85,3423.25,5.1,3.8,92.27272727272727
opencoder-1.5b-instruct,Method,76.0,100.0,100.0,5.433644736842105,5.439500000000001,1559.3552631578948,81.21052631578948,1640.5657894736842,0.05263157894736842,0.039473684210526314,46.77033492822966
opencoder-1.5b-instruct,Test,20.0,100.0,100.0,4.92955,4.8995,1406.8,80.6,1487.4,0.0,0.0,45.909090909090914
qwen2.5-1.5b-instruct,Method,76.0,100.0,100.0,2.354697368421053,2.355,3420.3289473684213,237.53947368421052,3657.8684210526317,4.815789473684211,3.5526315789473686,79.42583732057416
qwen2.5-1.5b-instruct,Test,20.0,100.0,100.0,2.413,2.4325,2758.25,257.5,3015.75,5.3,3.45,83.63636363636363
qwen2.5-coder-3b-instruct,Method,76.0,100.0,100.0,3.003315789473684,2.968,3420.3289473684213,237.93421052631578,3658.2631578947367,4.276315789473684,3.4473684210526314,85.04784688995215
qwen2.5-coder-3b-instruct,Test,20.0,100.0,100.0,3.2164,3.096,2758.25,271.55,3029.8,4.25,3.6,86.81818181818181
smollm2-1.7b-instruct,Method,76.0,100.0,100.0,2.838473684210526,2.7065,3861.934210526316,197.5,4059.434210526316,1.013157894736842,0.7105263157894737,63.1578947368421
smollm2-1.7b-instruct,Test,20.0,100.0,100.0,2.79025,2.8185000000000002,3228.45,211.0,3439.45,2.0,0.65,65.45454545454545
