enrichment_model,embedding_model,category,queries,R@1,R@5,R@10,MRR,Hit@5
raw,bge-small,control_flow,139,0.30935251798561153,0.5755395683453237,0.6834532374100719,0.41684937764074453,0.5755395683453237
raw,bge-small,cross_function,94,0.20212765957446807,0.4308510638297872,0.5159574468085106,0.552710233029382,0.776595744680851
raw,bge-small,data_flow,349,0.28939828080229224,0.5358166189111748,0.6217765042979942,0.39205666985036614,0.5358166189111748
raw,bge-small,dependencies,72,0.2361111111111111,0.4305555555555556,0.5555555555555556,0.6173004850088183,0.8055555555555556
raw,bge-small,error_handling,59,0.3559322033898305,0.7627118644067796,0.8983050847457628,0.5366895345708905,0.7627118644067796
raw,bge-small,functionality,199,0.31155778894472363,0.5527638190954773,0.6633165829145728,0.41200047858339317,0.5527638190954773
raw,bge-small,input_output,201,0.26865671641791045,0.472636815920398,0.5522388059701493,0.3554765853273316,0.472636815920398
raw,bge-small,multi_hop,50,0.11999999999999998,0.3,0.44666666666666666,0.4856269841269841,0.7
raw,bge-small,reasoning,94,0.19680851063829788,0.40425531914893614,0.5425531914893617,0.5246073961499493,0.7127659574468085
raw,bge-small,state_transition,343,0.23323615160349853,0.5597667638483965,0.6676384839650146,0.3692651210143922,0.5597667638483965
raw,bge-base,control_flow,139,0.39568345323741005,0.6330935251798561,0.7553956834532374,0.4937478588557725,0.6330935251798561
raw,bge-base,cross_function,94,0.25,0.5372340425531915,0.6702127659574468,0.672661263086795,0.9042553191489362
raw,bge-base,data_flow,349,0.3467048710601719,0.5616045845272206,0.673352435530086,0.4486321462682495,0.5616045845272206
raw,bge-base,dependencies,72,0.2986111111111111,0.4583333333333333,0.5625,0.6786816578483246,0.8472222222222222
raw,bge-base,error_handling,59,0.4576271186440678,0.7966101694915254,0.8983050847457628,0.581120527306968,0.7966101694915254
raw,bge-base,functionality,199,0.39195979899497485,0.5829145728643216,0.6884422110552764,0.47954654223498444,0.5829145728643216
raw,bge-base,input_output,201,0.31343283582089554,0.5572139303482587,0.6616915422885572,0.42603648424543944,0.5572139303482587
raw,bge-base,multi_hop,50,0.2,0.42666666666666664,0.48,0.6847460317460318,0.8
raw,bge-base,reasoning,94,0.2393617021276596,0.5,0.648936170212766,0.6391041877744006,0.8404255319148937
raw,bge-base,state_transition,343,0.35276967930029157,0.6180758017492711,0.7055393586005831,0.46022143551298067,0.6180758017492711
raw,nomic,control_flow,139,0.3381294964028777,0.539568345323741,0.6762589928057554,0.42779776179056755,0.539568345323741
raw,nomic,cross_function,94,0.23404255319148937,0.5531914893617021,0.7021276595744681,0.6689969604863223,0.925531914893617
raw,nomic,data_flow,349,0.28653295128939826,0.5386819484240688,0.6446991404011462,0.3973495702005731,0.5386819484240688
raw,nomic,dependencies,72,0.22916666666666666,0.4861111111111111,0.6597222222222222,0.6144235008818343,0.7916666666666666
raw,nomic,error_handling,59,0.4745762711864407,0.7288135593220338,0.847457627118644,0.6008878127522195,0.7288135593220338
raw,nomic,functionality,199,0.3316582914572864,0.6030150753768844,0.7135678391959799,0.45250857461912736,0.6030150753768844
raw,nomic,input_output,201,0.25870646766169153,0.527363184079602,0.6517412935323383,0.381562425965411,0.527363184079602
raw,nomic,multi_hop,50,0.12666666666666665,0.30666666666666664,0.4,0.4813015873015873,0.68
raw,nomic,reasoning,94,0.2074468085106383,0.5319148936170213,0.6968085106382979,0.6251308679500168,0.925531914893617
raw,nomic,state_transition,343,0.31486880466472306,0.5801749271137027,0.7055393586005831,0.42810865842935814,0.5801749271137027
raw,qwen3-0.6b,control_flow,139,0.5899280575539568,0.7985611510791367,0.8848920863309353,0.6798389859540939,0.7985611510791367
raw,qwen3-0.6b,cross_function,94,0.2712765957446808,0.6329787234042553,0.7074468085106383,0.719161600810537,0.9468085106382979
raw,qwen3-0.6b,data_flow,349,0.5100286532951289,0.7765042979942693,0.839541547277937,0.6208566425615136,0.7765042979942693
raw,qwen3-0.6b,dependencies,72,0.2777777777777778,0.5486111111111112,0.6041666666666666,0.6954254850088183,0.875
raw,qwen3-0.6b,error_handling,59,0.6949152542372882,0.8983050847457628,0.9491525423728814,0.7878732849071832,0.8983050847457628
raw,qwen3-0.6b,functionality,199,0.592964824120603,0.8341708542713567,0.8944723618090452,0.6932220626944245,0.8341708542713567
raw,qwen3-0.6b,input_output,201,0.5771144278606966,0.7860696517412935,0.8308457711442786,0.6593283582089551,0.7860696517412935
raw,qwen3-0.6b,multi_hop,50,0.1733333333333333,0.42,0.56,0.6298174603174602,0.78
raw,qwen3-0.6b,reasoning,94,0.30319148936170215,0.675531914893617,0.7287234042553191,0.7540780141843971,0.9574468085106383
raw,qwen3-0.6b,state_transition,343,0.5626822157434402,0.7988338192419825,0.8892128279883382,0.6649891249016614,0.7988338192419825
