enrichment_model,embedding_model,difficulty,queries,R@1,R@5,R@10,MRR,Hit@5
raw,bge-small,easy,400,0.29,0.5125,0.6075,0.38359722222222215,0.5125
raw,bge-small,moderate,560,0.2875,0.5321428571428571,0.6285714285714286,0.4271704931972789,0.5803571428571429
raw,bge-small,difficult,640,0.22578125,0.51640625,0.6309895833333334,0.44354972718253977,0.64375
raw,bge-base,easy,400,0.3525,0.57,0.675,0.45265773809523807,0.57
raw,bge-base,moderate,560,0.35267857142857145,0.5660714285714286,0.6794642857142857,0.48940830498866206,0.6160714285714286
raw,bge-base,difficult,640,0.31875,0.5903645833333333,0.6921875,0.546383308531746,0.7234375
raw,nomic,easy,400,0.295,0.565,0.6825,0.4168581349206349,0.565
raw,nomic,moderate,560,0.29196428571428573,0.5321428571428571,0.6544642857142857,0.43281675170068024,0.5714285714285714
raw,nomic,difficult,640,0.2872395833333333,0.5614583333333333,0.69296875,0.5125105406746032,0.703125
raw,qwen3-0.6b,easy,400,0.585,0.81,0.8625,0.6761904761904762,0.81
raw,qwen3-0.6b,moderate,560,0.5,0.7526785714285714,0.8205357142857143,0.6450843253968255,0.7946428571428571
raw,qwen3-0.6b,difficult,640,0.46354166666666663,0.7359375,0.81875,0.6946112351190475,0.8515625
