axis,embedding_model,comparison,metric,baseline,value,absolute_gain,relative_gain_percent
embedding,bge-base,raw,recall_at_1,0.2634375,0.3390625,0.075625,28.706998813760382
embedding,bge-base,raw,recall_at_5,0.5209375,0.5767708333333332,0.05583333333333318,10.717856428714226
embedding,bge-base,raw,recall_at_10,0.6242708333333333,0.6834375,0.0591666666666667,9.477724011346575
embedding,bge-base,raw,mrr,0.422828869047619,0.5030106646825396,0.08018179563492062,18.963179078931468
embedding,nomic,raw,recall_at_1,0.2634375,0.29083333333333333,0.02739583333333334,10.399367338869121
embedding,nomic,raw,recall_at_5,0.5209375,0.5520833333333334,0.031145833333333317,5.978804239152166
embedding,nomic,raw,recall_at_10,0.6242708333333333,0.676875,0.052604166666666674,8.426497580510597
embedding,nomic,raw,mrr,0.422828869047619,0.4607046130952381,0.037875744047619064,8.95770057823405
embedding,qwen3-0.6b,raw,recall_at_1,0.2634375,0.5066666666666666,0.2432291666666666,92.32898378805851
embedding,qwen3-0.6b,raw,recall_at_5,0.5209375,0.7603125,0.2393749999999999,45.95080983803237
embedding,qwen3-0.6b,raw,recall_at_10,0.6242708333333333,0.8303125,0.20604166666666668,33.00517270148507
embedding,qwen3-0.6b,raw,mrr,0.422828869047619,0.6726716269841271,0.24984275793650806,59.088386868960626
